"borough","date","day","crews","saNumber","location","communityBoard","area"
"Manhattan","8-5-19","Monday","1 Paving Crew","M2019-09-09","W 153 St (St Nicholas Pl to Riverside Dr)","09","Hamilton heights"
"Manhattan","8-6-19","Tuesday","1 Paving Crew","M2019-09-10","W 152 St (St Nicholas Pl to Riverside Dr)","09","Hamilton heights"
"Manhattan","8-7-19","Wednesday","1 Paving Crew","M2019-09-20","St Nicholas Pl (Donnellon Sq to W 153 St)","09","Hamilton heights"
"Manhattan","8-8-19","Thursday","1 Paving Crew","M2019-09-17","Amsterdam Ave (W 145 St to W 152 St)","09","Hamilton heights"
"Manhattan","8-9-19","Friday","1 Paving Crew","M2019-09-17","Amsterdam Ave (W 145 St to W 152 St)","09","Hamilton heights"
"Bronx","8-5-19","Monday","1 Milling Crew","X2019-08-04","Sedgwick Ave (Van Cortlandt Ave W to Ft Independence St)","08","Kingsbridge Heights"
"Bronx","8-5-19","Monday","Contractor Milling","X2018-01-05","E 137th St (St Ann's Ave to Willis Ave)","01","Mott Haven"
"Bronx","8-6-19","Tuesday","1 Milling Crew","X2019-08-04","Sedgwick Ave (Van Cortlandt Ave W to Ft Independence St)","08","Kingsbridge Heights"
"Bronx","8-6-19","Tuesday","Contractor Milling","X2018-01-07","Brown Pl (E 135th St to E 138th St)","01","Mott Haven"
"Bronx","8-6-19","Tuesday","Contractor Milling","X2018-01-06","Brook Ave (E 135th St to E 138th St)","01","Mott Haven"
"Bronx","8-6-19","Tuesday","Contractor Milling","X2015-01-22","E 141st St (St Ann's Ave to Bruckner Blvd)","01","Mott Haven"
"Bronx","8-7-19","Wednesday","1 Milling Crew","X2019-08-04","Sedgwick Ave (Van Cortlandt Ave W to Ft Independence St)","08","Kingsbridge Heights"
"Bronx","8-7-19","Wednesday","Contractor Milling","X2015-01-22","E 141st St (St Ann's Ave to Bruckner Blvd)","01","Mott Haven"
"Bronx","8-7-19","Wednesday","Contractor Milling","X2016-01-10","St Mary's St (E 143rd St/St Ann's Ave to Southern Blvd)","01","Mott Haven"
"Bronx","8-8-19","Thursday","1 Paving Crew","X2019-08-04","Sedgwick Ave (Van Cortlandt Ave W to Ft Independence St)","08","Kingsbridge Heights"
"Bronx","8-8-19","Thursday","Contractor Milling","X2016-01-10","St Mary's St (E 143rd St/St Ann's Ave to Southern Blvd)","01","Mott Haven"
"Bronx","8-8-19","Thursday","Contractor Milling","X2018-07-02","W Mosholu Pkwy N (W Gun Hill Rd to Jerome Ave)","07","Kingsbridge Heights"
"Bronx","8-8-19","Thursday","Contractor Milling","X2018-07-03","Gates Pl (W Mosholu Pky N to W Gun Hill Rd)","07","Kingsbridge Heights"
"Bronx","8-8-19","Thursday","Contractor Milling","X2018-07-04","Knox Pl (W Mosholy Pky N to W Gun Hill Rd)","07","Kingsbridge Heights"
